exercise,utility,mechanics,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles,minor_muscle,major_muscle
Weighted 45° Back Raise (on hyperextension apparatus),Auxiliary,Isolated,hamstrings,"['Gluteus Maximus', 'Adductor Magnus']","['Erector Spinae', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Lower', 'Trapezius, Middle', 'Rhomboids']",[''],"['Rectus Abdominis', 'Obliques']",Thighs,Legs
Suspended Side Bend,Auxiliary,Isolated,obliques,"['Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Gluteus Medius', 'Gluteus Minimus', 'Tensor Fasciae Latae', 'Adductors, Hip', 'Pectineus', 'Gracilis', 'Gluteus Maximus, Lower Fibers']",[''],[''],[''],Waist,Legs
Barbell Back Raise (on hyperextension apparatus),Auxiliary,Isolated,hamstrings,"['Gluteus Maximus', 'Adductor Magnus']","['Erector Spinae', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Lower', 'Rhomboids']",[''],"['Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever Triceps Extension,Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Pectoralis Major, Sternal', 'Deltoid, Posterior', 'Latissimus Dorsi', 'Teres Major', 'Pectoralis Minor', 'Trapezius, Lower', 'Extensor Carpi Ulnaris', 'Flexor Carpi Ulnaris']",[''],[''],Upper Arms,Arms
Sled Shoulder Press,Basic,Compound,"deltoid, anterior","['Deltoid, Lateral', 'Supraspinatus', 'Pectoralis Major, Clavicular', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii']",[''],Shoulders,Shoulders
Lever Kneeling Leg Curl,Basic,Isolated,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']","['Gluteus Medius', 'Gluteus Maximus']",[''],['Tibialis Anterior'],Thighs,Legs
Dumbbell Step Down,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (following leg)']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (lead leg)']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever V-Squat,Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Barbell Bench Press,Basic,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Sled Single Leg 45° Calf Press,Basic or Auxiliary,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
