exercise,utility,mechanics,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles,minor_muscle,major_muscle
Twisting Sit-up,Basic,Compound,obliques,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Rectus Abdominis']",['Tibialis Anterior'],[''],[''],Waist,Legs
Lever Barbell Incline Bench Press (plate loaded),Basic or Auxiliary,Compound,"pectoralis major, clavicular","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Lever Alternating Standing Leg Curl,Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis']","['Gluteus Medius', 'Gluteus Minimus']",[''],[' (see comment)'],Thighs,Legs
Lying Simultaneous Alternating Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps']",['Rectus Femoris'],[''],Waist,Legs
Weighted Chin-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Standing Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum']",['Rectus Femoris'],[''],Waist,Legs
Lever Reverse Wrist Curl (plate loaded),Basic or Auxiliary,Isolated,wrist extensors,['None'],['No significant stabilizers'],[''],[''],Forearms,Arms
Barbell Deadlift,Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Hamstrings (top half)', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']","['Hamstrings (bottom half)', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Lever Deadlift (plate loaded),Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Standing Calf Raise,Basic,Isolated,gastrocnemius,['Soleus'],[''],[''],[''],Calves,Legs
Suspended Reverse Fly,Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Deltoid, Lateral']",[''],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Cable Seated Y Raise (with rope attachment),Auxiliary,Isolated,"deltoid, lateral","['Supraspinatus', 'Teres Minor', 'Infraspinatus', 'Trapezius, Lower', 'Trapezius, Middle', 'Serratus Anterior, Inferior Digitations', 'Deltoid, Anterior', 'Deltoid, Posterior']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Erector Spinae']",[''],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Smith Step Down,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus\nLumborum', 'Obliques']",[''],[''],Thighs,Legs
Lever Standing Hip Extension,Auxiliary,Isolated,gluteus maximus,"['Hamstrings', 'Adductor Magnus']","['Obliques', 'Erector Spinae', 'Quadratus Lumborum', 'Gluteus Medius', 'Gluteus Minimus']",[''],['Rectus Abdominis'],Hips,Legs
Dumbbell Upright Row,Basic,Compound,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Infraspinatus', 'Teres Minor']","['Trapezius, Upper', 'Levator Scapulae']",[''],[''],Shoulders,Shoulders
Lever Sliding Split Squat (plate loaded),Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Lower', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadriceps (rear leg)']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Cable Bar Military Press,Basic,Compound,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Triceps Brachii', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii, Short Head']",[''],Shoulders,Shoulders
Weighted Back Extension (on stability ball),Auxiliary,Isolated,erector spinae,['None'],['See comments'],[''],[''],Back,Back
Cable Alternating Close Grip Pulldown,Basic or Auxiliary,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Lever Seated Reverse Fly (parallel grip),Auxiliary,Isolated,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']","['Triceps Brachii', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Weighted Seated Neck Extension,Basic or Auxiliary,Isolated,splenius,"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']",['No significant stabilizers'],[''],[''],Neck,Shoulders
Barbell Reclined Triceps Extension,Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Dumbbell Upright Shoulder External Rotation (with support),Auxiliary,Isolated,teres minor,"['Infraspinatus', 'Deltoid, Posterior', 'Supraspinatus']","['Serratus Anterior', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Self-assisted Inverse Leg Curl (on floor),Basic,Isolated,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Biceps Brachii', 'Brachialis', 'Wrist Flexors']","['Gluteus Maximus', 'Adductor Magnus', 'Erector Spinae']",[''],"['Rectus Abdominis', 'Obliques', 'Rectus Femoris', 'Tibialis Anterior']",Thighs,Legs
Suspended Y Lateral Raise,Auxiliary,Isolated,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Trapezius, Lower', 'Trapezius, Middle', 'Serratus Anterior, Inferior Digitations', 'Teres Minor', 'Infraspinatus']","['Erector Spinae', 'Gluteus Maximus', 'Hamstrings', 'Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Weighted Vertical Leg-Hip Raise (Bosu support),Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']","['Latissimus Dorsi', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Trapezius, Lower']",['Rectus Femoris'],[''],Waist,Legs
Lever Seated Reverse Fly (on pec deck),Auxiliary,Isolated,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",['No significant stabilizers'],[''],[''],Shoulders,Shoulders
Barbell Lying Rear Delt Row,Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']",[''],[''],[''],Shoulders,Shoulders
Cable Kneeling Row,Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Suspended Forward Angled Single Leg Calf Raise,Basic or Auxiliary,Isolated,gastrocnemius,['Soleus'],"['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques', 'Hip External Rotators', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior', 'Triceps Brachii', 'Latissimus Dorsi', 'Teres Major', 'Rhomboids', 'Levator Scapulae', 'Deltoid, Posterior', 'Rectus Abdominis', 'Quadriceps', 'Wrist Flexors']",[''],['Erector Spinae'],Calves,Legs
Suspended Single Leg Curl (leg flexed),Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']",[' (see comments)'],[''],"['Tibialis Anterior', 'Rectus Abdominis', 'Obliques']",Thighs,Legs
Cable One Arm Seated Row,Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal', 'Erector Spinae']","['Obliques', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']","['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Smith Standing Leg Calf Raise,Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Lever Seated Side Crunch,Auxiliary,Isolated,obliques,['Rectus Abdominis'],"['Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",[''],[''],Waist,Legs
Dumbbell Lying Row,Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Lever Side Lying Leg Hip Raise,Basic or Auxiliary,Isolated,rectus abdominis,"['Obliques', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Hamstrings', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",[''],[''],Waist,Legs
Weighted Neck Flexion,Basic or Auxiliary,Isolated,sternocleidomastoid,['None'],"['Rectus Abdominis', 'Obliques']",[''],[''],Neck,Shoulders
Cable Seated High Row,Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal', 'Erector Spinae']","['Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']","['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Standing Shoulder External Rotation,Auxiliary,Isolated,infraspinatus,"['Teres Minor', 'Deltoid, Posterior']","['Rhomboids', 'Trapezius, Lower', 'Deltoid, Lateral', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Suspended Self-assisted Chest Dip,Basic,Compound,"pectoralis major, sternal","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[''],[''],Chest,Chest
Lever Barbell Behind Neck Press (plate loaded),Basic,Compound,"deltoid, anterior","['Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head']",[''],Shoulders,Shoulders
Cable Rear Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Triceps, Long Head']",[''],Back,Back
Bent Knee Side Plank,Auxiliary,Isolated,obliques,[''],"['Gluteus Medius', 'Gluteus Minimus', 'Tensor Fasciae Latae', 'Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Adductors, Hip', 'Pectineus', 'Gluteus Maximus, Lower Fibers', 'Latissimus dorsi', 'Pectoralis major', 'Pectoralis minor', 'Levator Scapulae']",[''],"['Obliques', 'Iliocastalis lumborum', 'Iliocastalis thoracis']",Waist,Legs
Incline Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",['Rectus Femoris'],[''],Waist,Legs
Lever Standing Calf Raise (plate loaded),Basic,Isolated,gastrocnemius,['Soleus'],"['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']",[''],[''],Calves,Legs
Lever Hip Thrust,Auxiliary,Isolated,gluteus maximus,['Quadriceps'],['Erector Spinae'],['Hamstrings'],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Inverted Sit-up,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Rectus Femoris', 'Adductor Longus', 'Adductor Brevis', 'Obliques']",[''],[''],[''],Waist,Legs
Close Grip Decline Pushup,Basic or Auxiliary,Compound,triceps brachii,"['Pectoralis Major, Clavicular', 'Pectoralis Major, Sternal', 'Deltoid, Anterior']","['Rectus Abdominis', 'Obliques', 'Quadriceps']","['Biceps Brachii, Short Head']",['Erector Spinae'],Upper Arms,Arms
Cable Standing Twisting Crunch (single side),Auxiliary,Isolated,obliques,"['Rectus Abdominis', 'Psoas major']",['No significant stabilizers'],[''],[''],Waist,Legs
Bird Dog,Auxiliary,Isolated,erector spinae,"['Gluteus Maximus', 'Trapezius, Lower', 'Trapezius, Middle', 'Deltoid, Anterior', 'Deltoid, Lateral']","['Gluteus medius', 'Gluteus minimus', 'Piriformis', 'Obturator externus', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Serratus Anterior', 'Triceps Brachii']",['Hamstrings'],"['Rectus Abdominis', 'Obliques']",Back,Back
Sled 45° Alternating Calf Press,Basic or Auxiliary,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Lever Close Grip Pulldown (plate-loaded),Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Weighted Incline Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",['Rectus Femoris'],[''],Waist,Legs
Suspended Side Bridge,Auxiliary,Isolated,obliques,"['Gluteus Medius', 'Gluteus Minimus', 'Tensor Fasciae Latae', 'Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Adductors, Hip', 'Pectineus', 'Gracilis', 'Gluteus Maximus, Lower Fibers', 'Deltoid, Lateral', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Latissimus dorsi', 'Pectoralis major', 'Pectoralis minor', 'Levator Scapulae']",[''],[''],Waist,Legs
Cable One Arm Chest Press,Auxiliary,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[' (see comments)'],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Lever Rear Pulldown (plate loaded),Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Triceps, Long Head']",[''],Back,Back
Lever Wide Grip Bent-over Row (plate loaded),Basic,Compound,"general, back","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']","['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']",Back,Back
Lever Military Press (plate loaded),Basic,Compound,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Triceps Brachii', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii']",[''],Shoulders,Shoulders
Cable Triceps Dip,Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],[''],Upper Arms,Arms
Cable Alternating Front Raise,Auxiliary,Isolated,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Dumbbell Side Bend,Auxiliary,Isolated,obliques,"['Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus']",[''],[''],Waist,Legs
Lever Extended Arm Lateral Raise,Basic or Auxiliary,Isolated,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
"45° Hyperextension (across bench, arms up)",Basic or Auxiliary,Compound,erector spinae,"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",['No significant stabilizers'],[''],[''],Back,Back
Weighted Roman Chair Sit-up,Basic or Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Rectus Femoris', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques']",[''],[''],Waist,Legs
Dumbbell Seated Lateral Raise,Auxiliary,Isolated,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Suspended Hanging Straight Hip Leg Curl,Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']","['Gluteus Maximus', 'Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",[''],"['Tibialis Anterior', 'Rectus Abdominis', 'Obliques']",Thighs,Legs
Cable Pushdown (with back support),Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Trapezius, Lower', 'Rectus Abdominis', 'Obliques', 'Wrist Flexors']",[''],['Erector Spinae'],Upper Arms,Arms
Band-assisted Inverse Leg Curl,Basic,Isolated,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']","['Gluteus Maximus', 'Adductor Magnus', 'Erector Spinae']",[''],"['Rectus Abdominis', 'Obliques', 'Rectus Femoris', 'Tibialis Anterior']",Thighs,Legs
Wheel Rollout,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Latissimus Dorsi', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Deltoid, Posterior', 'Rhomboids']","['Rectus Abdominis', 'Obliques', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Serratus Anterior', 'Wrist Flexors']",['Rectus Femoris'],['Erector Spinae'],Waist,Legs
Lever Alternating Curl,Basic or Auxiliary,Isolated,biceps brachii,"['Brachialis', 'Brachioradialis']",['Wrist Flexors'],[''],[''],Upper Arms,Arms
Lever Seated Gripless Shrug,Auxiliary,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['No significant stabilizer'],[''],[''],Back,Back
Dumbbell Lying Shoulder External Rotation,Auxiliary,Isolated,infraspinatus,"['Teres Minor', 'Deltoid, Posterior']","['Rhomboids', 'Trapezius, Lower', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Sled Alternating 45° Leg Press,Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Sled Standing Chest Dip,Basic,Compound,"pectoralis major, sternal","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[''],[''],Chest,Chest
Lever Shoulder Press (parallel grip),Basic,Compound,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Triceps Brachii', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii']",[''],Shoulders,Shoulders
Dumbbell Prone Incline External Rotation,Auxiliary,Isolated,infraspinatus,"['Teres Minor', 'Deltoid, Posterior']","['Rhomboids', 'Trapezius, Middle', 'Trapezius, Lower (lower angles)', 'Trapezius, Upper (higher angles)', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Dumbbell Russian Twist (on stability ball),Auxiliary,Isolated,obliques,"['Hip External Rotators', 'Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Gluteus Maximus', 'Erector Spinae', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Deltoid, Lateral', 'Deltoid, Posterior', 'Triceps']",[''],[''],Waist,Legs
Twisting Crunch (arms crossed),Auxiliary,Isolated,obliques,"['Rectus Abdominis', 'Psoas Major']",[''],[''],[''],Waist,Legs
Wall Side Neck Bridge,Auxiliary,Isolated,sternocleidomastoid,[' (Neck)'],"['Gluteus Medius', 'Gluteus Minimus']",[''],[''],Neck,Shoulders
Hyperextension (arms crossed),Basic or Auxiliary,Compound,erector spinae,"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",['No significant stabilizers'],[''],[''],Back,Back
Weighted Hanging Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques']",['Rectus Femoris'],[''],Waist,Legs
Weighted Incline Crunch (arms crossed),Auxiliary,Isolated,rectus abdominis,['Obliques'],['Tibialis Anterior'],[''],[''],Waist,Legs
Barbell Board Press,Auxiliary,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']","['Erector Spinae', 'Gluteus Maximus']","['Biceps Brachii, Short Head']",[''],Chest,Chest
Pike on Power Wheel,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior', 'Deltoid, Anterior', 'Triceps Brachii', 'Quadriceps']",[''],[''],Waist,Legs
Barbell Box Squat,Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Dumbbell Seated Pronation,Auxiliary,Isolated,pronators,['None'],['No significant stabilizers'],[''],[''],Forearms,Arms
Lever Reclined Shoulder Press,Basic,Compound,"deltoid, anterior","['Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii']",[''],Shoulders,Shoulders
Dumbbell Push Sit-up,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Obliques']","['Tibialis Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Deltoid, Lateral', 'Pectoralis Minor', 'Serratus Anterior', 'Triceps Brachii']",[''],[''],Waist,Legs
Cable Roller Wrist Extension,Auxiliary,Isolated,wrist extensors,['None'],"['Brachioradialis', 'Biceps Brachii', 'Brachialis', 'Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Flexors']",[''],[''],Forearms,Arms
Weighted Push-up (on handles),Basic or Auxiliary,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']","['Rectus Abdominis', 'Obliques', 'Quadriceps', 'Pectoralis Minor', 'Serratus Anterior']","['Biceps Brachii, Short Head']",[''],Chest,Chest
Cable Curl (with stirrups),Basic or Auxiliary,Isolated,biceps brachii,"['Brachialis', 'Brachioradialis']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Weighted Chest Dip,Basic,Compound,"pectoralis major, sternal","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[''],[''],Chest,Chest
