exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles
Sled Seated Reverse Calf Press,Basic or Auxiliary,Isolated,Pull,['Tibialis Anterior'],['None'],['No significant stabilizers'],[''],['']
Dumbbell Lying Pronation (arm up),Auxiliary,Isolated,Push,['Pronators'],['None'],['No significant stabilizers'],[''],['']
Sled 45° Leg Press,Basic,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Lever Seated Twist,Auxiliary,Isolated,Pull,['Obliques'],"['Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Gluteus Maximus', 'Piriformis', 'Obturator externus']",[''],['']
Lever Seated Crunch (arm pad),Auxiliary,Isolated,Pull or Push,['Rectus Abdominis'],['Obliques'],"['Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",[''],['']
Rear Lunge,Basic or Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Cable One Arm Front Raise (with rope),Auxiliary,Isolated,Push,"['Deltoid, Anterior']","['Pectoralis Major, Clavicular', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Flexor Carpi Radialis', 'Extensor Carpi Radialis']",[''],['']
Lever Seated Leg Press,Basic,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Squat,Basic,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Lever Rear Lunge (plate loaded),Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Lower', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Suspended Rear Delt Row,Basic or Auxiliary,Compound,Pull,"['Deltoid, Posterior']","['Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Deltoid, Lateral']",['Biceps Brachii'],"['Rectus Abdominis', 'Obliques']"
Dumbbell Reclined Shoulder Press,Basic,Compound,Push,"['Deltoid, Anterior']","['Pectoralis Major, Clavicular', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Pectoralis Major, Clavicular']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii']",['']
Hanging Straight Leg-Hip Raise,Basic,Compound,Pull,['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Rectus Femoris', 'Obliques', 'Quadriceps']",[''],[''],['']
Smith Close Grip Bench Press,Basic,Compound,Push,['Triceps Brachii'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular']",[''],['Biceps Brachii'],['']
Cable Bar Shoulder Press,Basic,Compound,Push,"['Deltoid, Anterior']","['Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head']",['']
Crunch (arms crossed),Auxiliary,Isolated,Pull,['Rectus Abdominis'],['Obliques'],['No significant stabilizers'],[''],['']
Barbell Alternating Lunge & Rear Lunge,Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Tibialis Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Lever Hack Squat (plate loaded),Basic or Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Cable Bar Behind Neck Press,Basic,Compound,Push,"['Deltoid, Anterior']","['Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head']",['']
Lever Hack Press (plate loaded),Basic or Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Weighted Lying Leg-Hip Raise,Basic,Compound,Pull,['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']","['Quadriceps', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",['Rectus Femoris'],['']
Dumbbell Rear Lunge,Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Lower', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Cable Seated Curl,Basic or Auxiliary,Isolated,Pull,['Biceps Brachii'],"['Brachialis', 'Brachioradialis']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Flexors']",[''],['']
Lever 45° Reverse Calf Press (plate loaded),Basic or Auxiliary,Isolated,Pull,['Tibialis Anterior'],['None'],['No significant stabilizers'],[''],['']
Barbell Single Leg Squat,Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus', 'Erector Spinae (see notes)']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques', 'Rectus Abdominis']","['Hamstrings', 'Gastrocnemius']",['']
Lever Lying Leg Curl (plate loaded),Basic,Isolated,Pull,['Hamstrings'],"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']",[''],[''],"['Tibialis Anterior', 'Rectus Femoris']"
Cable Bar Squat,Basic,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Barbell Block Pull,Basic or Auxiliary,Compound,Pull,[' '],"['Gluteus Maximus', 'Adductor Magnus', 'Quadriceps', 'Hamstrings (above knees)', 'Soleus']","['Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']","['Hamstrings (below knees)', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Trap Bar Straight-back Stiff-leg Deadlift,Auxiliary,Isolated,Pull,['Gluteus Maximus'],"['Hamstrings', 'Adductor Magnus']","['Erector Spinae', 'Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']"
Jack-knife Sit-up (on bench),Basic,Compound,Pull,['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']",[''],['Rectus Femoris'],['']
Inverted Row (on hips),Basic or Auxiliary,Compound,Pull,"['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",['Erector Spinae'],"['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']"
Lever Front Pulldown,Basic,Compound,Pull,['Latissimus Dorsi'],"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",['']
Lying Scissor Kick,Auxiliary,Isolated,Pull,['Iliopsoas'],"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Rectus Femoris', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps']",[''],['']
Band-assisted Pull-up,Basic,Compound,Pull,['Latissimus Dorsi'],"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",['']
Sled Rear Lunge,Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",['']
Dumbbell Seated Front Lateral Raise,Auxiliary,Isolated,Pull,['Supraspinatus'],"['Deltoid, Lateral', 'Deltoid, Anterior', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior']","['Trapezius, Upper', 'Wrist Extensors']",[''],['']
Single Leg Box Squat (pistol),Basic or Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Lever Incline Chest Press (on Hammer military press),Basic or Auxiliary,Compound,Push,"['Pectoralis Major, Clavicular']","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",['']
Smith Incline Shoulder Raise,Auxiliary,Isolated,Push,['Serratus Anterior'],"['Pectoralis Major, Clavicular']","['Deltoid, Anterior', 'Triceps Brachii']",[''],['']
Suspended Chest Dip,Basic,Compound,Push,"['Pectoralis Major, Sternal']","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[''],['']
Weighted Reverse Hyper-extension,Auxiliary,Isolated,Push,['Gluteus Maximus'],['Hamstrings'],['Erector Spinae'],[''],"['Rectus Abdominis', 'Obliques']"
Single Leg Box Squat (pistol),Basic or Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Straight Hip Leg Curl (on stability ball),Basic or Auxiliary,Isolated,Pull,['Hamstrings'],"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']","['Gluteus Maximus', 'Erector Spinae']",[''],"['Tibialis Anterior', 'Rectus Abdominis', 'Obliques']"
Barbell Reverse Preacher Curl,Auxiliary,Isolated,Pull,['Brachioradialis'],"['Brachialis', 'Biceps Brachii']",['Wrist Extensors'],[''],['']
Barbell Bent Knee Good-morning,Basic or Auxiliary,Isolated,Pull,[' '],"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",['Quadriceps'],[''],"['Rectus Abdominis', 'Obliques']"
Self-assisted Single Leg Reclining Squat (pole),Basic or Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus', 'Erector Spinae (see notes)']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques', 'Rectus Abdominis']","['Hamstrings', 'Gastrocnemius']",['']
Weighted Belt Squat,Basic or Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Cable One Arm Standing Incline Chest Press,Auxiliary,Compound,Push,"['Pectoralis Major, Clavicular']","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii', 'Serratus Anterior', 'Obliques', 'Quadratus Lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Adductors, Hip']",['Rectus Abdominis'],"['Biceps Brachii, Short Head']",['Erector Spinae']
Weighted Donkey Calf Raise,Basic,Isolated,Push,['Gastrocnemius'],['Soleus'],"['Serratus Anterior', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Triceps brachii']",[''],['']
Cable Step-up,Basic or Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (Second Leg)']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (First Leg)']","['Rectus Abdominis', 'Obliques']"
Dumbbell Lying Rear Delt Row,Basic or Auxiliary,Compound,Pull,"['Deltoid, Posterior']","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']",[''],['Biceps Brachii'],['']
Lever Seated Twist,Auxiliary,Isolated,Pull,['Obliques'],"['Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Deltoid, Anterior', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Deltoid, Posterior', 'Latissimus Dorsi', 'Triceps, Long Head', 'Adductors, Hip (opposite side of rotating direction)']",[''],['']
Lever Triceps Extension,Basic or Auxiliary,Isolated,Push,['Triceps Brachii'],['None'],"['Pectoralis Major, Sternal', 'Deltoid, Posterior', 'Latissimus Dorsi', 'Teres Major', 'Pectoralis Minor', 'Trapezius, Lower', 'Extensor Carpi Ulnaris', 'Flexor Carpi Ulnaris']",[''],['']
Smith Stiff Leg Deadlift,Basic or Auxiliary,Compound,Pull,['Gluteus Maximus'],"['Erector Spinae', 'Adductor Magnus', 'Hamstrings']","['Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']"
Cable One Arm Reverse Fly,Auxiliary,Isolated,Pull,"['Deltoid, Posterior']","['Deltoid, Lateral', 'Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Quadratus Lumborum']","['Triceps Brachii', 'Wrist Extensors', 'Obliques', 'Erector Spinae']",[''],['']
Row (high bar),Basic or Auxiliary,Compound,Pull,"['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus']","['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']"
Smith Single Leg Split Squat,Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",['']
Lever Squat (plate loaded),Basic,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Cable Shrug,Basic or Auxiliary,Isolated,Pull,"['Trapezius, Upper']","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],['']
Dumbbell Step Down,Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (following leg)']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (lead leg)']","['Rectus Abdominis', 'Obliques']"
Weighted Sissy Squat (on apparatus),Auxiliary,Isolated,Push,['Quadriceps'],[''],"['Rectus Abdominis', 'Obliques', 'Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']",[' (see comments)'],['']
Sled Lying Leg Press (plate loaded),Basic,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Lever Extended Arm Lateral Raise,Basic or Auxiliary,Isolated,Pull,"['Deltoid, Lateral']","['Deltoid, Anterior', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],['']
Lever Deadlift (plate loaded),Basic,Compound,Pull,['Target'],"['Gluteus Maximus', 'Adductor Magnus', 'Quadriceps', 'Soleus']","['Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Angled Side Bridge Hip Abduction,Auxiliary,Isolated,Push,"['Tensor Fasciae Latae', 'Gluteus Medius', 'Gluteus Minimus']","['Obliques', 'Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Deltoid, Lateral', 'Levator Scapulae']","['Latissimus dorsi', 'Pectoralis minor', 'Triceps Brachii']",[''],['']
Lever Seated Decline Fly (gripless),Auxiliary,Isolated,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Pectoralis Minor']",['No significant stabilizers'],[''],['']
Cable One Arm Standing Preacher Curl,Auxiliary,Isolated,Pull,['Brachialis'],"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],['']
Dumbbell Incline Rear Delt Row,Basic or Auxiliary,Compound,Pull,"['Deltoid, Posterior']","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']",[''],['Biceps Brachii'],['']
Sled Lying Leg Press,Basic,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Cable Neck Flexion (with belt),Basic or Auxiliary,Isolated,Pull,['Sternocleidomastoid'],['None'],"['Rectus Abdominis', 'Obliques']",[''],['Erector Spinae']
Cable Shrug (dual pulley),Basic or Auxiliary,Isolated,Pull,"['Trapezius, Upper']","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],['']
Biceps Row (high bar),Basic or Auxiliary,Compound,Pull,['Biceps Brachii'],"['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus']","['Triceps, Long Head']","['Rectus Abdominis', 'Obliques']"
Band-assisted Chin-up,Basic,Compound,Pull,['Latissimus Dorsi'],"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",['']
Self-assisted Single Leg Calf Raise (with opposite leg),Basic or Auxiliary,Isolated,Push,['Gastrocnemius'],"['Soleus', 'Quadriceps', 'Gluteus Maximus']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']",[''],['']
Lever Single Leg Split Squat (plate loaded),Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Lower', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",['']
Sled Hack Squat,Basic or Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Twisting Sit-up (arms crossed),Basic,Compound,Pull,['Obliques'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Rectus Abdominis']",['Tibialis Anterior'],[''],['']
Cable Side Triceps Extension,Auxiliary,Isolated,Push,['Triceps Brachii'],['None'],"['Latissimus Dorsi', 'Teres Major', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Obliques', 'Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Wrist Extensors']",[''],['']
Sled Squat,Basic,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Safety Barbell Standing Leg Calf Raise,Basic,Isolated,Push,['Gastrocnemius'],['Soleus'],['No significant stabilizers'],[''],['']
Lever Upright Shoulder External Rotation,Auxiliary,Isolated,Pull,['Teres Minor'],"['Infraspinatus', 'Deltoid, Posterior', 'Supraspinatus']","['Serratus Anterior', 'Wrist Extensors']",[''],['']
Dumbbell Pullover,Auxiliary,Isolated,Push,"['Pectoralis Major, Sternal']","['Latissimus Dorsi', 'Teres Major', 'Triceps, Long Head', 'Deltoid, Posterior', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae']","['Triceps Brachii', 'Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",[''],['']
Lever Seated Row (no chest pad),Basic,Compound,Pull,"['Back, General']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']","['Biceps Brachii', 'Triceps, Long Head']",['']
Hanging Twisting Leg Hip Raise,Basic,Compound,Pull,['Obliques'],"['Rectus Abdominis', 'Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']",[''],['Rectus Femoris'],['']
Dumbbell Squat,Basic or Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Rhomboids']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Smith Straight Leg Deadlift,Basic,Compound,Pull,['Erector Spinae'],"['Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']","['Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']"
Cable Squat,Basic or Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Cable Bar Lying Triceps Extension,Basic,Isolated,Push,['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[''],['']
Trap Bar Stiff Leg Deadlift,Basic or Auxiliary,Compound,Pull,['Erector Spinae'],"['Gluteus Maximus', 'Adductor Magnus', 'Hamstrings']","['Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']"
Dumbbell Incline Bench Press,Basic or Auxiliary,Compound,Push,"['Pectoralis Major, Clavicular']","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",['']
Barbell Rack Pull,Basic or Auxiliary,Compound,Pull,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Hamstrings (above knees)', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']","['Hamstrings (below knees)', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
