exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles
Lever Seated Leg Raise Crunch,Auxiliary,Isolated,Pull,['Rectus Abdominis'],['Obliques'],"['Tensor Fasciae Latae', 'Rectus Femoris', 'Pectineus', 'Sartorius', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",[''],['']
Weighted Rear Pull-up,Basic,Compound,Pull,['Latissimus Dorsi'],"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Triceps, Long Head']",['']
Cable Straight-back Stiff-leg Deadlift,Auxiliary,Isolated,Pull,['Gluteus Maximus'],"['Hamstrings', 'Adductor Magnus']","['Erector Spinae', 'Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']"
Lever Iron Cross,Basic,Compound,Pull,['Latissimus Dorsi'],"['Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower']",['No significant stabilizers'],[''],['']
Lever Hack Press (plate loaded),Basic or Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Lever Underhand Seated Row,Basic,Compound,Pull,"['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",['']
Cable Bar Curl,Basic,Isolated,Pull,['Biceps Brachii'],"['Brachialis', 'Brachioradialis']","['Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Flexors']",[''],['']
Handstand Push-up (on parallettes),Basic,Compound,Push,"['Deltoid, Anterior']","['Pectoralis Major, Clavicular', 'Triceps Brachii', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii, Short Head']",['']
Lever Alternating Single Leg Split V-Squat,Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Reclining Vertical Leg-Hip Raise,Basic,Compound,Pull,['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']","['Latissimus Dorsi', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Trapezius, Lower']",['Rectus Femoris'],['']
