exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles
"45° Hyperextension (across bench, hands behind hips)",Basic or AuxiliaryMechanicsCompoundForcePull,CompoundForcePull,Pull,['Erector Spinae'],"['Gluteus MaximusHamstringsAdductor Magnus', 'HamstringsAdductor Magnus', 'Adductor Magnus']",['No significant stabilizers']
Lever Seated Twist (gripless),AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Obliques'],"['Psoas majorQuadratus lumborumIliocastalis lumborumIliocastalis thoracis', 'Quadratus lumborumIliocastalis lumborumIliocastalis thoracis', 'Iliocastalis lumborumIliocastalis thoracis', 'Iliocastalis thoracis']","['Pectoralis Major, SternalPectoralis Major, ClavicularPectoralis MinorDeltoid, AnteriorAdductors, Hip (side of rotating direction)', 'Pectoralis Major, ClavicularPectoralis MinorDeltoid, AnteriorAdductors, Hip (side of rotating direction)', 'Pectoralis MinorDeltoid, AnteriorAdductors, Hip (side of rotating direction)', 'Deltoid, AnteriorAdductors, Hip (side of rotating direction)', 'Adductors, Hip (side of rotating direction)']"
Lever Military Press (plate loaded),BasicMechanicsCompoundForcePush,CompoundForcePush,Push,"['Deltoid, Anterior']","['Pectoralis Major, ClavicularTriceps BrachiiDeltoid, LateralTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Triceps BrachiiDeltoid, LateralTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Deltoid, LateralTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Trapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Trapezius, LowerSerratus Anterior, Inferior Digitations', 'Serratus Anterior, Inferior Digitations']","['Trapezius, UpperLevator Scapulae', 'Levator Scapulae']"
Sled 45° Leg Press,BasicMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['']
Lever Deadlift (plate loaded),BasicMechanicsCompoundForcePull,CompoundForcePull,Pull,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Erector SpinaeTrapezius, MiddleTrapezius, UpperLevator ScapulaeRhomboids', 'Trapezius, MiddleTrapezius, UpperLevator ScapulaeRhomboids', 'Trapezius, UpperLevator ScapulaeRhomboids', 'Levator ScapulaeRhomboids', 'Rhomboids']"
Chest Dip (between benches),BasicMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Sternal']","['Deltoid, AnteriorTriceps BrachiiPectoralis Major, ClavicularPectoralis MinorRhomboidsLevator ScapulaeLatissimus DorsiTeres Major', 'Triceps BrachiiPectoralis Major, ClavicularPectoralis MinorRhomboidsLevator ScapulaeLatissimus DorsiTeres Major', 'Pectoralis Major, ClavicularPectoralis MinorRhomboidsLevator ScapulaeLatissimus DorsiTeres Major', 'Pectoralis MinorRhomboidsLevator ScapulaeLatissimus DorsiTeres Major', 'RhomboidsLevator ScapulaeLatissimus DorsiTeres Major', 'Levator ScapulaeLatissimus DorsiTeres Major', 'Latissimus DorsiTeres Major', 'Teres Major']","['Trapezius, Lower']"
Cable Standing Shoulder Internal Rotation,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Subscapularis'],"['Pectoralis Major, SternalPectoralis Major, ClavicularLatissimus DorsiTeres MajorDeltoid, Anterior', 'Pectoralis Major, ClavicularLatissimus DorsiTeres MajorDeltoid, Anterior', 'Latissimus DorsiTeres MajorDeltoid, Anterior', 'Teres MajorDeltoid, Anterior', 'Deltoid, Anterior']","['Pectoralis MinorRhomboidsLevator ScapulaeWrist Flexors', 'RhomboidsLevator ScapulaeWrist Flexors', 'Levator ScapulaeWrist Flexors', 'Wrist Flexors']"
Cable Rear Lateral Raise,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,"['Deltoid, Posterior']","['Deltoid, LateralInfraspinatusTeres MinorTrapezius, MiddleTrapezius, LowerRhomboids', 'InfraspinatusTeres MinorTrapezius, MiddleTrapezius, LowerRhomboids', 'Teres MinorTrapezius, MiddleTrapezius, LowerRhomboids', 'Trapezius, MiddleTrapezius, LowerRhomboids', 'Trapezius, LowerRhomboids', 'Rhomboids']","['Triceps BrachiiWrist ExtensorsErector SpinaeHamstringsGluteus MaximusAdductor MagnusQuadriceps', 'Wrist ExtensorsErector SpinaeHamstringsGluteus MaximusAdductor MagnusQuadriceps', 'Erector SpinaeHamstringsGluteus MaximusAdductor MagnusQuadriceps', 'HamstringsGluteus MaximusAdductor MagnusQuadriceps', 'Gluteus MaximusAdductor MagnusQuadriceps', 'Adductor MagnusQuadriceps', 'Quadriceps']"
Cable Seated Crunch,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Rectus Abdominis'],['Obliques'],['No significant stabilizers']
Lever Decline Pec Deck Fly,AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, ClavicularPectoralis Minor', 'Pectoralis Minor']",['No significant stabilizers']
